縣市,鄉鎮市區,路口,件數,死亡人數,受傷人數,補助
臺北市,大同區,重慶北路三段、伊寧街,3,2,2,有
高雄市,前鎮區,中山三路、凱旋四路,3,0,7,無
臺南市,北區,公園南路、西華街,3,0,7,有
新北市,板橋區,重慶路、光明街,3,0,7,無
臺南市,中西區,永福路、和意路,3,0,7,無
臺中市,西屯區,臺灣大道四段、東大路一段,3,0,7,無
桃園市,中壢區,環西路、志廣路,4,0,5,無
新北市,蘆洲區,民族路、民權路,4,0,5,無
新北市,汐止區,水源路一段、莊敬街,4,0,5,無
臺北市,中山區,南京東路三段、龍江路,4,0,5,有
臺北市,中山區,長安東路一段、天津街,4,0,5,有
臺南市,永康區,中華路、大橋一街,4,0,5,無
臺中市,沙鹿區,鎮南路二段、沙田路,4,0,5,有
桃園市,桃園區,中山路、國際路一段,4,0,5,無
桃園市,桃園區,中山路、民權路,4,0,5,有
桃園市,龜山區,復興一路、文化五路,4,0,5,有
新北市,新莊區,中原路、中平路,4,0,5,無
臺中市,潭子區,中山路二段、雅潭路一段,4,0,5,無
臺中市,潭子區,勝利路、勝利六街,4,0,5,有
臺北市,萬華區,西園路二段、西藏路,4,0,5,有
臺北市,萬華區,西寧南路、長沙街二段,4,0,5,有
臺北市,萬華區,西寧南路、貴陽街二段,4,0,5,有
臺北市,北投區,石牌路一段、致遠一路二段,4,0,5,有
臺北市,中山區,中山北路二段、長春路,4,0,5,有
高雄市,新興區,民族二路、信守街,4,0,5,有
臺北市,大安區,敦化南路二段、四維路154巷,4,0,5,有
臺中市,南區,復興路二段、新和街,4,0,5,有
新北市,三重區,中正北路、三民街,4,0,5,有
新北市,三重區,中正南路、同安街,4,0,5,有
新北市,三重區,五華街、溪尾街,4,0,5,無
臺北市,萬華區,環河南路二段、和平西路三段,4,0,5,有
臺中市,中區,三民路二段、成功路,4,0,5,有
新北市,板橋區,文化路二段、莒光路,4,0,5,無
臺北市,萬華區,康定路、廣州街,4,0,5,有
新北市,土城區,延吉街、延安街,4,0,5,無
臺北市,文山區,景中街、景美街,4,0,5,有
臺北市,內湖區,康寧路一段、星雲街,4,0,5,有
新北市,林口區,仁愛路二段、東湖路,4,0,5,無
新北市,板橋區,館前東路、重慶路,4,0,5,無
臺南市,北區,公園路、北安路一段,4,0,5,有
桃園市,平鎮區,環南路、復旦路,4,0,5,無
臺中市,北屯區,松竹路一段、敦富路,4,0,5,有
臺中市,西區,忠明南路、長春街,4,0,5,有
臺北市,中正區,中華路二段、西藏路,4,0,5,有
臺北市,中正區,中山南路、信義路一段,4,0,5,有
臺北市,中正區,中華路二段、南海路,4,0,5,有
高雄市,苓雅區,建國一路、福德二路,4,0,5,無
臺北市,大安區,通化街171巷、通化街,4,0,5,有
臺中市,西區,向上北路、華美街,4,0,5,有
新北市,汐止區,明峰街、民族六街,4,0,5,無
臺北市,信義區,基隆路二段、嘉興街216巷,4,0,5,有
新北市,三重區,集賢路、三信路,4,0,5,無
臺北市,信義區,松高路、松勇路,4,0,5,有
新北市,三重區,重陽路二段、中正北路,4,0,5,有
新北市,三重區,三和路四段、自強路三段,4,0,5,無
臺中市,北區,民權路、梅亭街,4,0,5,有
新北市,新店區,安民街、吉安街,4,0,5,無
桃園市,中壢區,中北路二段、健行路,4,0,5,有
高雄市,前金區,中華三路、六合二路,4,0,5,無
桃園市,蘆竹區,南竹路一段、桃園街,4,0,5,有
桃園市,蘆竹區,南崁路、南竹路,4,0,5,有
高雄市,前鎮區,瑞隆路、瑞福路,4,0,5,有
臺北市,大安區,和平東路二段、建國南路二段,4,0,5,有
高雄市,三民區,建國二路、復興一路,4,0,5,有
高雄市,鳳山區,五甲三路、自強二路,4,0,5,有
高雄市,鳳山區,青年路二段、文化路,4,0,5,有
臺北市,中正區,杭州南路一段、青島東路,4,0,5,有
臺北市,中正區,林森南路、青島東路,4,0,5,有
臺北市,中正區,重慶南路一段、開封街一段,4,0,5,有
桃園市,桃園區,中正路、和平路,3,1,4,有
新北市,三重區,國路一段、力行路二段,3,1,4,無
臺北市,信義區,忠孝東路五段、松仁路,3,1,4,有
臺北市,大安區,忠孝東路三段、新生南路一段,3,1,4,有
高雄市,苓雅區,中華四路、苓雅二路,3,0,6,有
高雄市,苓雅區,三多四路、城西街,3,0,6,有
高雄市,苓雅區,大順三路109巷、大順三路,3,0,6,無
臺中市,豐原區,中正路、和平街,3,0,6,有
臺中市,豐原區,中正路、市前街,3,0,6,有
高雄市,苓雅區,青年二路、海邊路,3,0,6,有
新北市,三重區,正義南路、福裕街,3,0,6,無
臺北市,萬華區,中華路一段、成都路,3,0,6,有
